,<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
3095,SPFB.RTS-12.18,1,13/09/18,10:01,105890.0,106450.0,105890.0,106350.0,47
3096,SPFB.RTS-12.18,1,13/09/18,10:02,106410.0,106500.0,106380.0,106410.0,44
3097,SPFB.RTS-12.18,1,13/09/18,10:03,106400.0,106410.0,106300.0,106300.0,83
3098,SPFB.RTS-12.18,1,13/09/18,10:04,106330.0,106360.0,106280.0,106360.0,15
3099,SPFB.RTS-12.18,1,13/09/18,10:05,106330.0,106330.0,106280.0,106320.0,16
3100,SPFB.RTS-12.18,1,13/09/18,10:06,106380.0,106470.0,106360.0,106440.0,166
3101,SPFB.RTS-12.18,1,13/09/18,10:07,106480.0,106600.0,106440.0,106520.0,91
3102,SPFB.RTS-12.18,1,13/09/18,10:08,106520.0,106540.0,106480.0,106480.0,23
3103,SPFB.RTS-12.18,1,13/09/18,10:09,106540.0,106600.0,106540.0,106600.0,10
3104,SPFB.RTS-12.18,1,13/09/18,10:10,106510.0,106560.0,106470.0,106510.0,84
3105,SPFB.RTS-12.18,1,13/09/18,10:11,106510.0,106590.0,106490.0,106540.0,47
3106,SPFB.RTS-12.18,1,13/09/18,10:12,106550.0,106550.0,106470.0,106470.0,28
3107,SPFB.RTS-12.18,1,13/09/18,10:13,106480.0,106480.0,106440.0,106450.0,14
3108,SPFB.RTS-12.18,1,13/09/18,10:15,106420.0,106470.0,106420.0,106470.0,6
3109,SPFB.RTS-12.18,1,13/09/18,10:16,106440.0,106470.0,106370.0,106460.0,47
3110,SPFB.RTS-12.18,1,13/09/18,10:17,106460.0,106550.0,106460.0,106530.0,44
3111,SPFB.RTS-12.18,1,13/09/18,10:18,106490.0,106550.0,106480.0,106550.0,21
3112,SPFB.RTS-12.18,1,13/09/18,10:19,106560.0,106650.0,106560.0,106630.0,39
3113,SPFB.RTS-12.18,1,13/09/18,10:20,106590.0,106630.0,106590.0,106630.0,25
3114,SPFB.RTS-12.18,1,13/09/18,10:21,106630.0,106650.0,106630.0,106650.0,118
3115,SPFB.RTS-12.18,1,13/09/18,10:22,106660.0,106670.0,106580.0,106600.0,63
3116,SPFB.RTS-12.18,1,13/09/18,10:23,106600.0,106640.0,106530.0,106640.0,78
3117,SPFB.RTS-12.18,1,13/09/18,10:24,106640.0,106660.0,106630.0,106630.0,5
3118,SPFB.RTS-12.18,1,13/09/18,10:25,106610.0,106640.0,106610.0,106640.0,4
3119,SPFB.RTS-12.18,1,13/09/18,10:26,106610.0,106630.0,106600.0,106630.0,32
3120,SPFB.RTS-12.18,1,13/09/18,10:27,106580.0,106580.0,106570.0,106570.0,3
3121,SPFB.RTS-12.18,1,13/09/18,10:28,106610.0,106630.0,106610.0,106630.0,11
3122,SPFB.RTS-12.18,1,13/09/18,10:29,106590.0,106600.0,106590.0,106600.0,27
3123,SPFB.RTS-12.18,1,13/09/18,10:30,106580.0,106630.0,106560.0,106630.0,41
3124,SPFB.RTS-12.18,1,13/09/18,10:31,106630.0,106630.0,106580.0,106590.0,20
3125,SPFB.RTS-12.18,1,13/09/18,10:32,106580.0,106610.0,106580.0,106610.0,6
