<DATE>,<VOL>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
13/09/18,47,105890.0000000,106450.0000000,105890.0000000,106350.0000000
13/09/18,44,106410.0000000,106500.0000000,106380.0000000,106410.0000000
13/09/18,83,106400.0000000,106410.0000000,106300.0000000,106300.0000000
13/09/18,15,106330.0000000,106360.0000000,106280.0000000,106360.0000000
13/09/18,16,106330.0000000,106330.0000000,106280.0000000,106320.0000000
13/09/18,166,106380.0000000,106470.0000000,106360.0000000,106440.0000000
13/09/18,91,106480.0000000,106600.0000000,106440.0000000,106520.0000000
13/09/18,23,106520.0000000,106540.0000000,106480.0000000,106480.0000000
13/09/18,10,106540.0000000,106600.0000000,106540.0000000,106600.0000000
13/09/18,84,106510.0000000,106560.0000000,106470.0000000,106510.0000000
13/09/18,47,106510.0000000,106590.0000000,106490.0000000,106540.0000000
13/09/18,28,106550.0000000,106550.0000000,106470.0000000,106470.0000000
13/09/18,14,106480.0000000,106480.0000000,106440.0000000,106450.0000000
13/09/18,6,106420.0000000,106470.0000000,106420.0000000,106470.0000000
13/09/18,47,106440.0000000,106470.0000000,106370.0000000,106460.0000000
13/09/18,44,106460.0000000,106550.0000000,106460.0000000,106530.0000000
13/09/18,21,106490.0000000,106550.0000000,106480.0000000,106550.0000000
13/09/18,39,106560.0000000,106650.0000000,106560.0000000,106630.0000000
13/09/18,25,106590.0000000,106630.0000000,106590.0000000,106630.0000000
13/09/18,118,106630.0000000,106650.0000000,106630.0000000,106650.0000000
13/09/18,63,106660.0000000,106670.0000000,106580.0000000,106600.0000000
13/09/18,78,106600.0000000,106640.0000000,106530.0000000,106640.0000000
13/09/18,5,106640.0000000,106660.0000000,106630.0000000,106630.0000000
13/09/18,4,106610.0000000,106640.0000000,106610.0000000,106640.0000000
13/09/18,32,106610.0000000,106630.0000000,106600.0000000,106630.0000000
13/09/18,3,106580.0000000,106580.0000000,106570.0000000,106570.0000000
13/09/18,11,106610.0000000,106630.0000000,106610.0000000,106630.0000000
13/09/18,27,106590.0000000,106600.0000000,106590.0000000,106600.0000000
13/09/18,41,106580.0000000,106630.0000000,106560.0000000,106630.0000000
13/09/18,20,106630.0000000,106630.0000000,106580.0000000,106590.0000000
13/09/18,6,106580.0000000,106610.0000000,106580.0000000,106610.0000000
13/09/18,2,106610.0000000,106620.0000000,106610.0000000,106620.0000000
13/09/18,2,106620.0000000,106640.0000000,106620.0000000,106640.0000000
13/09/18,5,106640.0000000,106680.0000000,106640.0000000,106680.0000000
13/09/18,20,106690.0000000,106720.0000000,106680.0000000,106700.0000000
13/09/18,23,106740.0000000,106750.0000000,106720.0000000,106750.0000000
13/09/18,12,106750.0000000,106750.0000000,106720.0000000,106720.0000000
13/09/18,3,106700.0000000,106700.0000000,106700.0000000,106700.0000000
13/09/18,8,106720.0000000,106720.0000000,106720.0000000,106720.0000000
13/09/18,5,106720.0000000,106720.0000000,106710.0000000,106710.0000000
13/09/18,2,106710.0000000,106710.0000000,106710.0000000,106710.0000000
13/09/18,5,106740.0000000,106760.0000000,106740.0000000,106760.0000000
13/09/18,61,106760.0000000,106770.0000000,106740.0000000,106740.0000000
13/09/18,23,106790.0000000,106860.0000000,106790.0000000,106860.0000000
13/09/18,28,106890.0000000,106900.0000000,106860.0000000,106870.0000000
13/09/18,51,106850.0000000,106920.0000000,106840.0000000,106920.0000000
13/09/18,13,106930.0000000,106950.0000000,106930.0000000,106950.0000000
13/09/18,2,106930.0000000,106930.0000000,106930.0000000,106930.0000000
13/09/18,3,106880.0000000,106880.0000000,106880.0000000,106880.0000000
13/09/18,4,106900.0000000,106920.0000000,106900.0000000,106920.0000000
13/09/18,89,106950.0000000,107050.0000000,106950.0000000,106950.0000000
13/09/18,13,107000.0000000,107000.0000000,106950.0000000,106950.0000000
13/09/18,9,106950.0000000,106980.0000000,106950.0000000,106970.0000000
13/09/18,47,106930.0000000,106930.0000000,106930.0000000,106930.0000000
13/09/18,27,106940.0000000,106990.0000000,106940.0000000,106970.0000000
13/09/18,10,106990.0000000,106990.0000000,106970.0000000,106970.0000000
13/09/18,86,106970.0000000,107010.0000000,106940.0000000,106970.0000000
13/09/18,15,106940.0000000,106990.0000000,106940.0000000,106990.0000000
13/09/18,9,106990.0000000,106990.0000000,106950.0000000,106950.0000000
13/09/18,9,106960.0000000,106980.0000000,106960.0000000,106970.0000000
13/09/18,77,106970.0000000,107030.0000000,106970.0000000,106980.0000000
13/09/18,66,106990.0000000,107050.0000000,106950.0000000,106950.0000000
13/09/18,57,106950.0000000,106950.0000000,106920.0000000,106920.0000000
13/09/18,81,106920.0000000,106920.0000000,106880.0000000,106900.0000000
13/09/18,20,106880.0000000,106880.0000000,106880.0000000,106880.0000000
13/09/18,2,106870.0000000,106870.0000000,106870.0000000,106870.0000000
13/09/18,73,106910.0000000,106910.0000000,106850.0000000,106850.0000000
13/09/18,6,106870.0000000,106920.0000000,106870.0000000,106920.0000000
13/09/18,50,106950.0000000,106950.0000000,106950.0000000,106950.0000000
13/09/18,78,106950.0000000,106950.0000000,106940.0000000,106940.0000000
13/09/18,31,106890.0000000,106890.0000000,106880.0000000,106880.0000000
13/09/18,14,106870.0000000,106890.0000000,106870.0000000,106890.0000000
13/09/18,3,106870.0000000,106900.0000000,106870.0000000,106900.0000000
13/09/18,11,106920.0000000,106920.0000000,106910.0000000,106910.0000000
13/09/18,8,106900.0000000,106950.0000000,106900.0000000,106950.0000000
13/09/18,38,106950.0000000,106950.0000000,106930.0000000,106930.0000000
13/09/18,22,106900.0000000,106910.0000000,106890.0000000,106910.0000000
13/09/18,2,106900.0000000,106900.0000000,106900.0000000,106900.0000000
13/09/18,89,106890.0000000,106930.0000000,106890.0000000,106890.0000000
13/09/18,93,106890.0000000,106890.0000000,106870.0000000,106870.0000000
13/09/18,3,106860.0000000,106860.0000000,106860.0000000,106860.0000000
13/09/18,6,106890.0000000,106910.0000000,106890.0000000,106910.0000000
13/09/18,24,106900.0000000,106910.0000000,106900.0000000,106910.0000000
13/09/18,2,106940.0000000,106940.0000000,106930.0000000,106930.0000000
13/09/18,40,106960.0000000,106970.0000000,106930.0000000,106940.0000000
13/09/18,1,106920.0000000,106920.0000000,106920.0000000,106920.0000000
13/09/18,1,106910.0000000,106910.0000000,106910.0000000,106910.0000000
13/09/18,7,106900.0000000,106900.0000000,106880.0000000,106880.0000000
13/09/18,8,106860.0000000,106880.0000000,106820.0000000,106820.0000000
13/09/18,3,106830.0000000,106830.0000000,106830.0000000,106830.0000000
13/09/18,21,106900.0000000,106920.0000000,106900.0000000,106920.0000000
13/09/18,1,106910.0000000,106910.0000000,106910.0000000,106910.0000000
13/09/18,1,106950.0000000,106950.0000000,106950.0000000,106950.0000000
13/09/18,259,106960.0000000,107150.0000000,106960.0000000,107140.0000000
13/09/18,115,107110.0000000,107120.0000000,107080.0000000,107100.0000000
13/09/18,2,107110.0000000,107110.0000000,107070.0000000,107070.0000000
13/09/18,14,107060.0000000,107070.0000000,107040.0000000,107070.0000000
13/09/18,15,107090.0000000,107090.0000000,107050.0000000,107070.0000000
13/09/18,41,107070.0000000,107070.0000000,107020.0000000,107050.0000000
13/09/18,4,107050.0000000,107050.0000000,107030.0000000,107030.0000000
13/09/18,2,107040.0000000,107040.0000000,107020.0000000,107020.0000000
13/09/18,34,107060.0000000,107140.0000000,107060.0000000,107110.0000000
13/09/18,2,107130.0000000,107130.0000000,107090.0000000,107090.0000000
13/09/18,16,107120.0000000,107130.0000000,107090.0000000,107120.0000000
13/09/18,15,107140.0000000,107150.0000000,107090.0000000,107090.0000000
13/09/18,1,107090.0000000,107090.0000000,107090.0000000,107090.0000000
13/09/18,3,107090.0000000,107090.0000000,107050.0000000,107060.0000000
13/09/18,45,107040.0000000,107040.0000000,107010.0000000,107030.0000000
13/09/18,32,107020.0000000,107140.0000000,107020.0000000,107130.0000000
13/09/18,3,107100.0000000,107110.0000000,107100.0000000,107100.0000000
13/09/18,124,107140.0000000,107310.0000000,107140.0000000,107290.0000000
13/09/18,147,107310.0000000,107310.0000000,107280.0000000,107290.0000000
13/09/18,2,107270.0000000,107270.0000000,107270.0000000,107270.0000000
13/09/18,8,107260.0000000,107290.0000000,107260.0000000,107290.0000000
13/09/18,62,107310.0000000,107390.0000000,107310.0000000,107340.0000000
13/09/18,44,107310.0000000,107340.0000000,107300.0000000,107340.0000000
13/09/18,38,107340.0000000,107340.0000000,107310.0000000,107310.0000000
13/09/18,26,107300.0000000,107320.0000000,107290.0000000,107320.0000000
