382;0200;383;0200;382;0200;000;0382;0000;004;0100
383;EE1A;384;EE1A;39E;0000;000;001A;0000;004;0100	39E	0000
384;AE17;385;AE17;39C;7FFF;000;0017;7FFF;000;0000
385;0740;386;0740;385;0740;000;0385;7FFE;001;0001
386;0C00;387;0C00;7FF;7FFE;7FF;0386;7FFE;001;0001	7FF	7FFE
387;D6A7;6A7;D6A7;7FE;0388;7FE;D6A7;7FFE;001;0001	7FE	0388
6A7;AC01;6A8;AC01;7FF;7FFE;7FE;0001;7FFE;001;0001
6A8;F001;6A9;F001;6A8;F001;7FE;06A8;7FFE;001;0001
6A9;F307;6B1;F307;6A9;F307;7FE;0007;7FFE;001;0001
6B1;AE02;6B2;AE02;6B4;F7C2;7FE;0002;F7C2;009;1001
6B2;EC01;6B3;EC01;7FF;F7C2;7FE;0001;F7C2;009;1001	7FF	F7C2
6B3;0A00;388;0A00;7FE;0388;7FF;06B3;F7C2;009;1001
388;0800;389;0800;7FF;F7C2;000;0388;F7C2;009;1001
389;0740;38A;0740;389;0740;000;0389;F7C1;009;1001
38A;6E13;38B;6E13;39E;0000;000;0013;F7C1;009;1001
38B;EE12;38C;EE12;39E;F7C1;000;0012;F7C1;009;1001	39E	F7C1
38C;AE0E;38D;AE0E;39B;C043;000;000E;C043;009;1001
38D;0700;38E;0700;38D;0700;000;038D;C044;008;1000
38E;0C00;38F;0C00;7FF;C044;7FF;038E;C044;008;1000	7FF	C044
38F;D6A7;6A7;D6A7;7FE;0390;7FE;D6A7;C044;008;1000	7FE	0390
6A7;AC01;6A8;AC01;7FF;C044;7FE;0001;C044;008;1000
6A8;F001;6A9;F001;6A8;F001;7FE;06A8;C044;008;1000
6A9;F307;6AA;F307;6A9;F307;7FE;06A9;C044;008;1000
6AA;7E09;6AB;7E09;6B4;F7C2;7FE;0009;C044;008;1000
6AB;F805;6B1;F805;6AB;F805;7FE;0005;C044;008;1000
6B1;AE02;6B2;AE02;6B4;F7C2;7FE;0002;F7C2;008;1000
6B2;EC01;6B3;EC01;7FF;F7C2;7FE;0001;F7C2;008;1000	7FF	F7C2
6B3;0A00;390;0A00;7FE;0390;7FF;06B3;F7C2;008;1000
390;0800;391;0800;7FF;F7C2;000;0390;F7C2;008;1000
391;0740;392;0740;391;0740;000;0391;F7C1;009;1001
392;6E0B;393;6E0B;39E;F7C1;000;000B;0000;005;0101
393;EE0A;394;EE0A;39E;0000;000;000A;0000;005;0101	39E	0000
394;AE08;395;AE08;39D;7FFF;000;0008;7FFF;001;0001
395;0C00;396;0C00;7FF;7FFF;7FF;0395;7FFF;001;0001	7FF	7FFF
396;D6A7;6A7;D6A7;7FE;0397;7FE;D6A7;7FFF;001;0001	7FE	0397
6A7;AC01;6A8;AC01;7FF;7FFF;7FE;0001;7FFF;001;0001
6A8;F001;6A9;F001;6A8;F001;7FE;06A8;7FFF;001;0001
6A9;F307;6B1;F307;6A9;F307;7FE;0007;7FFF;001;0001
6B1;AE02;6B2;AE02;6B4;F7C2;7FE;0002;F7C2;009;1001
6B2;EC01;6B3;EC01;7FF;F7C2;7FE;0001;F7C2;009;1001	7FF	F7C2
6B3;0A00;397;0A00;7FE;0397;7FF;06B3;F7C2;009;1001
397;0800;398;0800;7FF;F7C2;000;0397;F7C2;009;1001
398;6E05;399;6E05;39E;0000;000;0005;F7C2;009;1001
399;EE04;39A;EE04;39E;F7C2;000;0004;F7C2;009;1001	39E	F7C2
39A;0100;39B;0100;39A;0100;000;039A;F7C2;009;1001
